Tree file : INDELible V1.03 (best viewed cut and paste in e.g. excel)

N.B. Simulation blocks with no random trees will have their trees printed for the first replicate only.

FILE	TREE	NTAXA	REP	PART	LENGTH	DEPTH	MAX PAIRWISE DISTANCE	TREE STRING

p3_out	t3	20	1	1	11.1626	1	2	((((6:0.0662626,4:0.0662626):0.110882,12:0.177144):0.737517,((8:0.105058,18:0.105058):0.686226,((15:0.215766,1:0.215766):0.4906,((19:0.249179,7:0.249179):0.276884,10:0.526064):0.180303):0.0849185):0.123377):0.0853367,(((5:0.737196,(2:0.406217,16:0.406217):0.330979):0.178318,((11:0.164679,9:0.164679):0.606311,(14:0.502923,20:0.502923):0.268066):0.144524):0.0369,((3:0.04666,17:0.04666):0.867599,13:0.914261):0.0381535):0.0475853);
p3_out	t3	20	2	1	11.3377	1	2	((16:0.82252,19:0.82252):0.177479,(((((((12:0.312579,2:0.312579):0.222932,((11:0.17965,13:0.17965):0.253097,1:0.432747):0.102765):0.145974,(10:0.14029,15:0.14029):0.541197):0.0687293,5:0.750214):0.0131102,((3:0.441611,14:0.441611):0.164419,(7:0.388817,17:0.388817):0.217215):0.157293):0.060127,4:0.823452):0.16847,(((8:0.00598667,6:0.00598667):0.546447,(9:0.10524,18:0.10524):0.447194):0.251475,20:0.803908):0.188012):0.00807779);
p3_out	t3	20	3	1	11.6817	1	2	(4:0.999998,(((((9:0.0391638,6:0.0391638):0.548993,20:0.588155):0.0940096,((1:0.339908,(13:0.0821602,5:0.0821602):0.257749):0.239804,((17:0.0686961,12:0.0686961):0.473908,(16:0.328497,3:0.328497):0.214106):0.0371114):0.102452):0.242584,(((19:0.553181,(14:0.486579,2:0.486579):0.0666034):0.187539,((8:0.473152,10:0.473152):0.167642,11:0.640793):0.0999263):0.105667,18:0.846387):0.0783634):0.00904537,(7:0.831305,15:0.831305):0.10249):0.0662025);
p3_out	t3	20	4	1	11.7265	1	2	(((1:0.2013,17:0.2013):0.612552,(19:0.217064,20:0.217064):0.596787):0.186146,(((14:0.304458,2:0.304458):0.625546,(((((3:0.27145,15:0.27145):0.288403,16:0.559852):0.101712,(6:0.499982,(12:0.39092,13:0.39092):0.109059):0.161585):0.0571685,7:0.718734):0.0646599,11:0.783393):0.146612):0.0482055,(((9:0.1306,18:0.1306):0.294576,8:0.425176):0.448167,((5:0.216542,10:0.216542):0.533496,4:0.750037):0.123304):0.104869):0.0217877);
p3_out	t3	20	5	1	11.0737	1	2	(((6:0.971816,(13:0.808337,(((4:0.246557,14:0.246557):0.384632,12:0.63119):0.125443,((1:0.59032,(((11:0.0133407,8:0.0133407):0.240351,3:0.253692):0.13091,5:0.384602):0.205719):0.0818231,(19:0.198408,9:0.198408):0.473735):0.084489):0.0517035):0.163479):0.00755555,((((7:0.110192,10:0.110192):0.34807,15:0.458261):0.149265,(16:0.229287,17:0.229287):0.378238):0.334241,18:0.941766):0.0376047):0.0206275,(2:0.220291,20:0.220291):0.779708);
p3_out	t3	20	6	1	10.8706	1	2	((12:0.995325,(3:0.960902,((10:0.138675,18:0.138675):0.529217,7:0.66789):0.293011):0.034422):0.00467455,((((14:0.560317,(2:0.114547,13:0.114547):0.44577):0.201754,(11:0.636996,17:0.636996):0.125076):0.0592829,(8:0.168432,((4:0.0279206,1:0.0279206):0.0826464,16:0.110567):0.0578652):0.652923):0.0476229,(((6:0.417538,9:0.417538):0.16269,5:0.580229):0.245582,((19:0.0637635,15:0.0637635):0.0855505,20:0.149314):0.676496):0.0431655):0.131022);
p3_out	t3	20	7	1	12.8003	1	2	(((((((14:0.0796976,15:0.0796976):0.508514,19:0.588211):0.171591,((17:0.64897,6:0.64897):0.107749,(13:0.230652,10:0.230652):0.526067):0.00308444):0.0619876,(11:0.493064,(2:0.441503,3:0.441503):0.0515597):0.328726):0.00847935,(12:0.381459,9:0.381459):0.448812):0.1193,(8:0.695503,(4:0.465259,18:0.465259):0.230244):0.254067):0.0504297,((5:0.622223,(7:0.511535,20:0.511535):0.110687):0.318417,(1:0.583438,16:0.583438):0.357203):0.0593576);
p3_out	t3	20	8	1	10.2958	1	2	(((9:0.432352,16:0.432352):0.482391,((8:0.721379,1:0.721379):0.174366,((2:0.0535467,17:0.0535467):0.271982,(20:0.193836,3:0.193836):0.131692):0.570217):0.0189979):0.0852567,(((11:0.00321732,10:0.00321732):0.676067,(4:0.0918128,18:0.0918128):0.587473):0.229825,((14:0.39477,13:0.39477):0.509861,(((15:0.487844,7:0.487844):0.0890599,19:0.576905):0.0356473,((6:0.047477,12:0.047477):0.00359394,5:0.0510708):0.561482):0.29208):0.00447788):0.0908893);
p3_out	t3	20	9	1	12.1055	1	2	((3:0.862228,(14:0.687534,(((1:0.543405,7:0.543405):0.0833102,18:0.626714):0.00899693,(((6:0.247798,15:0.247798):0.199191,2:0.446991):0.0460479,(19:0.344182,11:0.344182):0.148855):0.142674):0.051824):0.174693):0.13777,(((13:0.46272,5:0.46272):0.283522,(10:0.430058,12:0.430058):0.316185):0.222779,(((4:0.299094,20:0.299094):0.100467,(16:0.31957,17:0.31957):0.0799881):0.447005,(8:0.745031,9:0.745031):0.101532):0.122457):0.0309767);
p3_out	t3	20	10	1	8.29531	1	2	(((15:0.275285,(17:0.195659,(12:0.137625,7:0.137625):0.0580341):0.0796267):0.696841,((16:0.611717,(4:0.418473,(((20:0.126304,3:0.126304):0.182065,(2:0.228736,5:0.228736):0.0796332):0.106357,((9:0.0303767,14:0.0303767):0.246396,8:0.276773):0.137954):0.00374758):0.193242):0.0713582,(6:0.540305,(1:0.329353,(13:0.193932,18:0.193932):0.135422):0.210951):0.14277):0.289051):0.0278736,(11:0.545017,(19:0.00745682,10:0.00745682):0.537561):0.454982);
